# External test data for TestFromExternalFile.java (C.4)
# FORMAT: paperSize,printType,printingSide,pages,copies,bindingOption,lamination,expressPrinting,customerType,previousOrders,expectedTotal
# Member 4 owns this file. Add more rows to increase coverage.
# DO NOT hardcode these values in TestFromExternalFile.java — read them from here.
#
# Row 1: A4 B&W Single, no services, Regular, no discount → 20×2×0.20 = 8.00
A4,Black & White,Single-sided,20,2,None,false,false,Regular,0,8.00
#
# Row 2: A3 Colour Double + Spiral + Lam, Student → base=140, spiral=8, lam=150, sub=298, ×0.90=268.20
A3,Colour,Double-sided,50,2,Spiral,true,false,Student,5,268.20
#
# Row 3: A5 B&W Single + Staple, Corporate, >20 orders → 100×1×0.15+2=17.00, ×0.85×0.95=13.73
A5,Black & White,Single-sided,100,1,Staple,false,false,Corporate,25,13.73
#
# Row 4: A4 Colour Single + Express, Regular, no discount → 10×5×0.80+20=60.00
A4,Colour,Single-sided,10,5,None,false,true,Regular,0,60.00
#
# Row 5: BVA max pages, A4 B&W Double, Regular exactly 20 previous orders → no loyalty
A4,Black & White,Double-sided,500,1,None,false,false,Regular,20,90.00
#
# Row 6: A4 Colour Double + Comb, Regular with >RM300 and loyalty discounts
A4,Colour,Double-sided,500,1,Comb,false,false,Regular,21,342.95
#
# Row 7: A5 Colour Single, Student with loyalty discount
A5,Colour,Single-sided,10,10,None,false,false,Student,21,51.30
#
# Row 8: A3 B&W Double + Comb + Lamination + Express, Corporate with all extra discounts
A3,Black & White,Double-sided,100,3,Comb,true,true,Corporate,30,444.93
